#f      sf      vout       vin
32.38   0.01    0.032   1.184
64.23   0.01    0.048   1.184
128.48  0.01    0.088   1.184
256.01  0.01    0.168   1.184
360.8   0.5     0.288   1.168
404.04  0.01    0.344   1.168
510.4   0.5     0.600   1.160
653.3   0.5     0.992   1.104
666.6   0.5     0.984   1.104
888.8   0.5     0.520   1.152
1023.1  0.5     0.384   1.152
2048    3       0.136   1.168
4086    5       0.064   1.176
8134.1  0.5     0.032   1.168
2596.8  0.5     0.104   1.168
1566.3  0.5     0.184   1.168
576.7   0.1     0.808   1.120
598.08  0.05    0.888   1.120
778.88  0.05    0.728   1.136
709.2   0.1     0.904   1.120
